,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
0,2490,0,2381,2501,-2.29,4.41,7.74,7.74,4.41,-2.29,1.14,-0.45,-0.14,Fuck You!
1,2459,0,2366,2479,-1.91,3.11,9.4,9.4,3.11,-1.91,-0.04,0.04,-0.14,Fuck You!
2,2480,0,2390,2489,-2.12,3.32,9.54,9.54,3.32,-2.12,-0.07,-0.1,-0.03,Fuck You!
3,2457,0,2384,2486,-1.91,3.13,9.61,9.61,3.13,-1.91,-0.04,-0.03,-0.04,Fuck You!
4,2448,0,2374,2492,-1.83,3.04,9.66,9.66,3.04,-1.83,-0.05,-0.05,-0.03,Fuck You!
5,2454,0,2403,2511,-1.77,3,9.76,9.76,3,-1.77,-0.03,-0.03,-0.02,Fuck You!
6,2463,0,2347,2500,-1.75,3,9.71,9.71,3,-1.75,-0.04,-0.05,-0.02,Fuck You!
7,2489,0,2382,2490,-1.74,2.89,9.74,9.74,2.89,-1.74,-0.04,-0.04,-0.03,Fuck You!
8,2460,0,2383,2474,-1.72,2.97,9.61,9.61,2.97,-1.72,-0.04,-0.04,-0.02,Fuck You!
9,2468,0,2363,2505,-1.65,2.94,9.67,9.67,2.94,-1.65,-0.04,-0.04,-0.01,Fuck You!
10,2457,0,2390,2510,-0.29,5.05,9.74,9.74,5.05,-0.29,0.27,-0.67,0.63,Fuck You!
11,2455,0,2372,2487,5.47,3.22,7.2,7.2,3.22,5.47,0.73,-0.89,1.29,Fuck You!
12,2471,0,2384,2448,8.76,3.11,2.52,2.52,3.11,8.76,1.86,-0.14,0.73,Fuck You!
13,2475,0,2400,2486,10.1,2.32,-0.17,-0.17,2.32,10.1,0.32,-0.03,0,Fuck You!
14,2479,2021,2378,2477,9.92,1.49,0.27,0.27,1.49,9.92,0.52,0.15,0.03,Fuck You!
15,2450,2030,0,2486,10.08,1.54,0.81,0.81,1.54,10.08,-0.33,0.01,-0.03,Fuck You!
16,2464,158,0,2447,10.15,1.5,0.67,0.67,1.5,10.15,-0.31,0.07,0.12,Fuck You!
17,2485,262,0,2454,10.18,0.86,0.87,0.87,0.86,10.18,0.02,-0.04,-0.02,Fuck You!
18,2506,351,0,2465,10.08,1.05,0.74,0.74,1.05,10.08,-0.05,-0.04,-0.02,Fuck You!
19,2490,386,0,2449,10.1,1.05,0.82,0.82,1.05,10.1,-0.03,-0.02,-0.04,Fuck You!
