,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
0,2483,0,2369,2453,-3.71,3.62,8.71,8.71,3.62,-3.71,-0.03,-0.04,-0.02,Steady...
1,2462,0,2377,2521,-3.78,3.52,8.75,8.75,3.52,-3.78,-0.04,-0.03,0,Steady...
2,2468,0,2363,2470,-3.75,3.64,8.72,8.72,3.64,-3.75,-0.03,-0.05,-0.01,Steady...
3,2448,0,2363,2486,-3.71,3.73,8.76,8.76,3.73,-3.71,-0.03,-0.04,-0.02,Steady...
4,2475,1625,2368,2470,-2.87,2.59,8.66,8.66,2.59,-2.87,-0.13,-0.03,-0.25,Steady...
5,2486,2227,2373,2476,-5.09,2.92,8.2,8.2,2.92,-5.09,-0.08,-0.01,-0.04,Steady...
6,2458,2256,2363,2481,-4.99,2.7,8.33,8.33,2.7,-4.99,-0.07,-0.07,-0.03,Steady...
7,2478,2195,2361,2502,-5.09,2.79,8.2,8.2,2.79,-5.09,0.03,-0.03,-0.01,Steady...
8,2450,2238,2361,2471,-5,3.15,8.02,8.02,3.15,-5,-0.04,-0.03,0,Steady...
9,2457,2244,2367,2470,-4.94,3.04,8.21,8.21,3.04,-4.94,-0.01,-0.05,-0.02,Steady...
10,2469,2221,2365,2458,-5.08,2.97,8.28,8.28,2.97,-5.08,-0.03,-0.05,-0.02,Steady...
11,2491,2224,2368,2467,-5.02,3.04,8.12,8.12,3.04,-5.02,-0.04,-0.04,-0.02,Steady...
12,2448,2240,2381,2475,-4.92,3,8.11,8.11,3,-4.92,-0.03,-0.04,-0.02,Steady...
13,2451,2234,2354,2451,-5,2.98,8.11,8.11,2.98,-5,-0.04,-0.04,-0.02,Steady...
14,2450,2225,2374,2485,-5,2.97,8.28,8.28,2.97,-5,-0.04,-0.04,-0.02,Steady...
15,2474,2230,2361,2492,-5,3,8.12,8.12,3,-5,-0.04,-0.04,-0.03,Steady...
16,2474,2246,2370,2471,-4.98,2.98,8.26,8.26,2.98,-4.98,-0.03,-0.04,-0.02,Steady...
17,2467,2256,2354,2467,-4.95,2.99,8.12,8.12,2.99,-4.95,-0.03,-0.04,-0.02,Steady...
18,2470,2249,2352,2495,-4.93,2.98,8.22,8.22,2.98,-4.93,-0.04,-0.04,-0.02,Steady...
19,2457,2224,2365,2479,-4.95,3.01,8.14,8.14,3.01,-4.95,-0.03,-0.04,-0.02,Steady...
20,2474,2237,2383,2474,-5.01,2.97,8.29,8.29,2.97,-5.01,-0.04,-0.04,-0.02,Steady...
21,2448,2227,2374,2493,-4.99,2.99,8.19,8.19,2.99,-4.99,-0.03,-0.04,-0.02,Steady...
22,2464,2233,2359,2483,-5.06,3,8.26,8.26,3,-5.06,-0.03,-0.04,-0.02,Steady...
23,2461,2229,2384,2494,-5.01,3.02,8.21,8.21,3.02,-5.01,-0.04,-0.04,-0.02,Steady...
24,2468,2236,2361,2477,-5,2.92,8.16,8.16,2.92,-5,-0.04,-0.05,-0.02,Steady...
25,2458,2254,2387,2480,-5.04,3,8.13,8.13,3,-5.04,-0.03,-0.04,-0.02,Steady...
26,2483,2239,2372,2480,-4.98,3.01,8.21,8.21,3.01,-4.98,-0.04,-0.04,-0.02,Steady...
27,2471,2238,2373,2487,-5.02,2.99,8.21,8.21,2.99,-5.02,-0.03,-0.04,-0.02,Steady...
28,2468,2229,2377,2497,-4.97,2.98,8.13,8.13,2.98,-4.97,-0.04,-0.04,-0.02,Steady...
29,2471,2251,2388,2453,-5,2.98,8.21,8.21,2.98,-5,-0.04,-0.04,-0.02,Steady...
30,2470,2240,2358,2489,-4.98,2.96,8.22,8.22,2.96,-4.98,-0.03,-0.04,-0.02,Steady...
31,2447,2224,2375,2480,-4.98,2.95,8.21,8.21,2.95,-4.98,-0.04,-0.04,-0.02,Steady...
32,2465,2231,2393,2489,-5.04,3.04,8.12,8.12,3.04,-5.04,-0.04,-0.04,-0.02,Steady...
33,2455,2254,2358,2511,-5.05,3.04,8.22,8.22,3.04,-5.05,-0.03,-0.04,-0.02,Steady...
34,2482,2220,2352,2430,-5,3,8.21,8.21,3,-5,-0.03,-0.04,-0.02,Steady...
35,2465,2228,2384,2480,-5.01,3.02,8.27,8.27,3.02,-5.01,-0.03,-0.04,-0.02,Steady...
36,2461,2236,2377,2466,-5.01,3,8.21,8.21,3,-5.01,-0.04,-0.04,-0.02,Steady...
37,2455,2241,2371,2493,-4.99,2.97,8.16,8.16,2.97,-4.99,-0.03,-0.04,-0.02,Steady...
38,2466,2242,2371,2470,-4.99,2.97,8.28,8.28,2.97,-4.99,-0.03,-0.04,-0.02,Steady...
39,2448,2239,2362,2486,-4.97,3.02,8.2,8.2,3.02,-4.97,-0.03,-0.04,-0.02,Steady...
40,2448,2227,2374,2475,-5.03,3.05,8.3,8.3,3.05,-5.03,-0.04,-0.04,-0.02,Steady...
41,2463,2236,2368,2462,-5.02,3,8.28,8.28,3,-5.02,-0.03,-0.04,-0.02,Steady...
42,2435,2238,2383,2449,-5.01,2.99,8.23,8.23,2.99,-5.01,-0.04,-0.05,-0.02,Steady...
43,2463,2240,2369,2485,-4.96,2.98,8.19,8.19,2.98,-4.96,-0.03,-0.04,-0.02,Steady...
44,2466,2238,2368,2471,-4.99,2.94,8.26,8.26,2.94,-4.99,-0.03,-0.04,-0.02,Steady...
45,2467,2242,2371,2479,-5.06,3,8.23,8.23,3,-5.06,-0.03,-0.04,-0.02,Steady...
46,2463,2251,2386,2477,-4.98,3,8.14,8.14,3,-4.98,-0.04,-0.04,-0.02,Steady...
47,2448,2237,2366,2471,-4.93,2.99,8.2,8.2,2.99,-4.93,-0.03,-0.04,-0.02,Steady...
48,2469,2231,2362,2450,-5.02,3,8.23,8.23,3,-5.02,-0.04,-0.04,-0.02,Steady...
49,2471,2241,2367,2461,-4.98,3.02,8.16,8.16,3.02,-4.98,-0.04,-0.04,-0.02,Steady...
50,2471,2222,2378,2480,-5.01,2.98,8.19,8.19,2.98,-5.01,-0.04,-0.04,-0.02,Steady...
51,2459,2243,2368,2522,-5,2.98,8.22,8.22,2.98,-5,-0.03,-0.05,-0.02,Steady...
52,2498,2235,2362,2468,-4.94,3.05,8.15,8.15,3.05,-4.94,-0.03,-0.04,-0.02,Steady...
53,2463,2252,2366,2491,-4.99,3.03,8.18,8.18,3.03,-4.99,-0.04,-0.04,-0.02,Steady...
54,2471,2239,2367,2480,-5.02,3.03,8.25,8.25,3.03,-5.02,-0.03,-0.04,-0.02,Steady...
55,2449,2247,2360,2463,-5,3.04,8.09,8.09,3.04,-5,-0.04,-0.05,-0.01,Steady...
56,2455,2241,2366,2479,-5.07,3.06,8.16,8.16,3.06,-5.07,-0.03,-0.04,-0.02,Steady...
57,2455,2255,2357,2483,-4.98,3.01,8.23,8.23,3.01,-4.98,-0.04,-0.04,-0.02,Steady...
58,2461,2247,2347,2494,-4.98,2.96,8.16,8.16,2.96,-4.98,-0.03,-0.04,-0.02,Steady...
59,2451,2256,2369,2481,-4.95,2.97,8.21,8.21,2.97,-4.95,-0.04,-0.04,-0.02,Steady...
60,2453,2255,2369,2483,-5.01,3.03,8.18,8.18,3.03,-5.01,-0.03,-0.04,-0.02,Steady...
61,2471,2242,2384,2483,-4.94,2.96,8.24,8.24,2.96,-4.94,-0.04,-0.04,-0.02,Steady...
62,2453,2238,2352,2494,-4.99,3.07,8.13,8.13,3.07,-4.99,-0.04,-0.04,-0.02,Steady...
63,2458,2241,2339,2482,-4.99,3.04,8.19,8.19,3.04,-4.99,-0.03,-0.04,-0.02,Steady...
64,2445,2245,2370,2474,-5.04,2.99,8.14,8.14,2.99,-5.04,-0.03,-0.04,-0.02,Steady...
65,2467,2232,2368,2462,-5,2.95,8.21,8.21,2.95,-5,-0.04,-0.04,-0.02,Steady...
66,2461,2238,2378,2474,-4.99,3,8.11,8.11,3,-4.99,-0.04,-0.04,-0.02,Steady...
67,2454,2235,2363,2478,-5.02,2.96,8.14,8.14,2.96,-5.02,-0.04,-0.04,-0.01,Steady...
68,2457,2256,2379,2506,-5.02,2.97,8.13,8.13,2.97,-5.02,-0.03,-0.04,-0.02,Steady...
69,2465,2256,2390,2462,-4.98,3,8.24,8.24,3,-4.98,-0.04,-0.04,-0.02,Steady...
70,2463,2241,2362,2477,-5,3,8.23,8.23,3,-5,-0.04,-0.04,-0.02,Steady...
71,2458,2240,2382,2478,-4.99,3.01,8.19,8.19,3.01,-4.99,-0.04,-0.05,-0.02,Steady...
72,2462,2249,2366,2479,-4.98,3,8.22,8.22,3,-4.98,-0.04,-0.04,-0.02,Steady...
73,2475,2241,2378,2480,-4.97,3.03,8.25,8.25,3.03,-4.97,-0.04,-0.04,-0.02,Steady...
74,2466,2238,2365,2481,-5.01,3.01,8.23,8.23,3.01,-5.01,-0.04,-0.04,-0.02,Steady...
75,2467,2229,2388,2480,-4.95,3.03,8.2,8.2,3.03,-4.95,-0.04,-0.04,-0.02,Steady...
76,2483,2230,2363,2485,-4.98,3.02,8.1,8.1,3.02,-4.98,-0.04,-0.04,-0.02,Steady...
77,2497,2235,2363,2461,-5.03,2.98,8.19,8.19,2.98,-5.03,-0.03,-0.04,-0.02,Steady...
78,2448,2235,2384,2480,-5.03,3.02,8.22,8.22,3.02,-5.03,-0.04,-0.04,-0.02,Steady...
79,2458,2242,2352,2470,-4.99,3.05,8.13,8.13,3.05,-4.99,-0.03,-0.04,-0.02,Steady...
80,2465,2249,2386,2474,-4.98,2.98,8.2,8.2,2.98,-4.98,-0.04,-0.04,-0.02,Steady...
81,2471,2228,2375,2529,-4.99,3.07,8.24,8.24,3.07,-4.99,-0.03,-0.04,-0.02,Steady...
82,2467,2240,2379,2462,-5.02,2.99,8.22,8.22,2.99,-5.02,-0.03,-0.04,-0.02,Steady...
83,2464,2240,2368,2483,-5.05,3.02,8.16,8.16,3.02,-5.05,-0.03,-0.04,-0.02,Steady...
84,2461,2243,2368,2482,-4.96,2.96,8.19,8.19,2.96,-4.96,-0.04,-0.04,-0.02,Steady...
85,2486,2243,2366,2471,-4.94,2.98,8.2,8.2,2.98,-4.94,-0.03,-0.04,-0.02,Steady...
86,2458,2245,2379,2475,-5.07,3.03,8.16,8.16,3.03,-5.07,-0.03,-0.04,-0.02,Steady...
87,2483,2251,2381,2480,-5,3.05,8.12,8.12,3.05,-5,-0.04,-0.04,-0.02,Steady...
88,2459,2237,2373,2484,-4.98,3.06,8.16,8.16,3.06,-4.98,-0.04,-0.04,-0.02,Steady...
89,2463,2245,2367,2448,-4.99,3.01,8.17,8.17,3.01,-4.99,-0.04,-0.04,-0.02,Steady...
90,2450,2250,2374,2480,-4.99,2.97,8.15,8.15,2.97,-4.99,-0.03,-0.04,-0.02,Steady...
91,2479,2245,2367,2490,-4.99,3.06,8.19,8.19,3.06,-4.99,-0.03,-0.04,-0.02,Steady...
92,2467,2249,2368,2480,-4.95,2.96,8.17,8.17,2.96,-4.95,-0.03,-0.04,-0.02,Steady...
93,2478,2252,2369,2473,-5.01,2.94,8.09,8.09,2.94,-5.01,-0.03,-0.04,-0.02,Steady...
94,2461,2237,2357,2485,-5.07,2.97,8.16,8.16,2.97,-5.07,-0.03,-0.04,-0.03,Steady...
95,2473,2240,2365,2485,-5.04,3.01,8.16,8.16,3.01,-5.04,-0.03,-0.04,-0.02,Steady...
96,2453,2251,2365,2476,-5.05,3.01,8.19,8.19,3.01,-5.05,-0.04,-0.04,-0.02,Steady...
97,2435,2240,2363,2480,-5.02,3.04,8.16,8.16,3.04,-5.02,-0.03,-0.04,-0.02,Steady...
98,2485,2235,2368,2477,-5.08,3.02,8.21,8.21,3.02,-5.08,-0.04,-0.04,-0.02,Steady...
99,2443,2240,2374,2477,-5.01,3.02,8.21,8.21,3.02,-5.01,-0.04,-0.04,-0.02,Steady...
100,2454,2246,2369,2484,-5.06,2.99,8.17,8.17,2.99,-5.06,-0.03,-0.04,-0.02,Steady...
101,2448,2231,2348,2487,-5.03,3,8.18,8.18,3,-5.03,-0.03,-0.04,-0.02,Steady...
102,2480,2267,2371,2462,-5,3.04,8.13,8.13,3.04,-5,-0.04,-0.04,-0.02,Steady...
103,2462,2249,2374,2478,-5.01,3.02,8.14,8.14,3.02,-5.01,-0.04,-0.04,-0.02,Steady...
104,2470,2229,2365,2474,-4.98,3.05,8.16,8.16,3.05,-4.98,-0.03,-0.04,-0.02,Steady...
105,2479,2249,2373,2479,-5.06,3.05,8.2,8.2,3.05,-5.06,-0.03,-0.04,-0.02,Steady...
106,2463,2244,2367,2481,-5,3.03,8.09,8.09,3.03,-5,-0.03,-0.04,-0.02,Steady...
107,2477,2235,2384,2471,-4.96,3.06,8.14,8.14,3.06,-4.96,-0.04,-0.04,-0.02,Steady...
108,2461,2252,2363,2495,-4.99,3.02,8.14,8.14,3.02,-4.99,-0.03,-0.04,-0.02,Steady...
109,2476,2242,2383,2474,-4.97,3.09,8.18,8.18,3.09,-4.97,-0.04,-0.04,-0.02,Steady...
110,2454,2258,2355,2488,-4.98,3.07,8.12,8.12,3.07,-4.98,-0.03,-0.04,-0.02,Steady...
111,2455,2235,2379,2483,-5.04,3.07,8.2,8.2,3.07,-5.04,-0.03,-0.04,-0.03,Steady...
112,2464,2211,2375,2468,-4.94,3.09,8.12,8.12,3.09,-4.94,-0.04,-0.04,-0.02,Steady...
113,2449,2257,2369,2486,-5.03,3.04,8.12,8.12,3.04,-5.03,-0.04,-0.04,-0.02,Steady...
114,2476,2250,2370,2476,-4.96,3.03,8.24,8.24,3.03,-4.96,-0.03,-0.04,-0.02,Steady...
115,2467,2247,2367,2480,-5,3.09,8.15,8.15,3.09,-5,-0.03,-0.04,-0.02,Steady...
116,2469,2247,2358,2481,-4.92,3.15,8.17,8.17,3.15,-4.92,-0.04,-0.04,-0.02,Steady...
117,2459,2213,2368,2491,-4.98,3.08,8.16,8.16,3.08,-4.98,-0.04,-0.04,-0.02,Steady...
118,2475,2254,2370,2514,-4.98,3.09,8.18,8.18,3.09,-4.98,-0.03,-0.04,-0.02,Steady...
119,2446,2239,2366,2448,-4.99,3.13,8.15,8.15,3.13,-4.99,-0.03,-0.04,-0.02,Steady...
120,2448,2253,2369,2479,-4.94,3.06,8.13,8.13,3.06,-4.94,-0.03,-0.04,-0.02,Steady...
121,2462,2256,2370,2480,-4.99,3.09,8.06,8.06,3.09,-4.99,-0.03,-0.04,-0.02,Steady...
122,2451,2235,2366,2467,-5.02,3.06,8.14,8.14,3.06,-5.02,-0.04,-0.04,-0.02,Steady...
123,2479,2242,2362,2510,-4.97,3.1,8.19,8.19,3.1,-4.97,-0.04,-0.04,-0.02,Steady...
124,2471,2219,2362,2482,-4.97,3.14,8.28,8.28,3.14,-4.97,-0.04,-0.04,-0.02,Steady...
125,2453,2242,2363,2485,-4.93,3.06,8.22,8.22,3.06,-4.93,-0.03,-0.04,-0.02,Steady...
126,2448,2228,2367,2487,-5.02,3.04,8.09,8.09,3.04,-5.02,-0.04,-0.04,-0.02,Steady...
127,2474,2235,2368,2511,-4.98,3.08,8.28,8.28,3.08,-4.98,-0.04,-0.05,-0.02,Steady...
128,2465,2254,2357,2451,-5.05,3.09,8.21,8.21,3.09,-5.05,-0.03,-0.04,-0.02,Steady...
129,2464,2257,2371,2481,-4.97,3.09,8.12,8.12,3.09,-4.97,-0.04,-0.04,-0.02,Steady...
130,2463,2245,2384,2487,-4.98,3.09,8.29,8.29,3.09,-4.98,-0.03,-0.04,-0.02,Steady...
131,2468,2238,2368,2499,-4.96,3.1,8.24,8.24,3.1,-4.96,-0.03,-0.04,-0.02,Steady...
132,2466,2256,2374,2457,-4.97,3.06,8.12,8.12,3.06,-4.97,-0.03,-0.05,-0.03,Steady...
133,2463,2243,2368,2480,-4.97,3.13,8.21,8.21,3.13,-4.97,-0.03,-0.04,-0.02,Steady...
134,2479,2250,2371,2466,-4.94,3.16,8.2,8.2,3.16,-4.94,-0.03,-0.05,-0.02,Steady...
135,2457,2242,2362,2495,-4.92,3.12,8.12,8.12,3.12,-4.92,-0.04,-0.04,-0.02,Steady...
136,2449,2249,2368,2485,-4.93,3.12,8.14,8.14,3.12,-4.93,-0.04,-0.04,-0.02,Steady...
137,2462,2241,2361,2473,-5,3.12,8.18,8.18,3.12,-5,-0.03,-0.04,-0.02,Steady...
138,2462,2240,2366,2455,-5.01,3.14,8.13,8.13,3.14,-5.01,-0.04,-0.04,-0.02,Steady...
139,2469,2269,2370,2480,-4.98,3.13,8.19,8.19,3.13,-4.98,-0.03,-0.04,-0.02,Steady...
140,2452,2231,2361,2491,-4.91,3.12,8.14,8.14,3.12,-4.91,-0.03,-0.05,-0.02,Steady...
141,2463,2237,2377,2483,-4.93,3.11,8.11,8.11,3.11,-4.93,-0.03,-0.04,-0.02,Steady...
142,2451,2209,2369,2466,-4.99,3.17,8.22,8.22,3.17,-4.99,-0.04,-0.04,-0.02,Steady...
143,2473,2233,2373,2486,-4.97,3.11,8.13,8.13,3.11,-4.97,-0.04,-0.04,-0.02,Steady...
144,2469,2250,2384,2506,-4.91,3.13,8.17,8.17,3.13,-4.91,-0.03,-0.04,-0.02,Steady...
145,2483,2250,2361,2491,-4.97,3.1,8.2,8.2,3.1,-4.97,-0.03,-0.04,-0.02,Steady...
146,2483,2224,2367,2487,-4.96,3.17,8.16,8.16,3.17,-4.96,-0.03,-0.04,-0.02,Steady...
147,2459,2235,2377,2475,-4.91,3.14,8.16,8.16,3.14,-4.91,-0.03,-0.04,-0.01,Steady...
148,2453,2236,2369,2493,-4.95,3.17,8.13,8.13,3.17,-4.95,-0.03,-0.04,-0.01,Steady...
149,2469,2247,2352,2477,-4.93,3.16,8.03,8.03,3.16,-4.93,-0.04,-0.04,-0.02,Steady...
150,2445,2243,2362,2471,-4.98,3.16,8.27,8.27,3.16,-4.98,-0.03,-0.04,-0.02,Steady...
151,2465,2247,2380,2494,-4.98,3.19,8.14,8.14,3.19,-4.98,-0.03,-0.04,-0.02,Steady...
152,2455,2240,2370,2505,-5.03,3.18,8.22,8.22,3.18,-5.03,-0.04,-0.05,-0.02,Steady...
153,2468,2245,2373,2479,-4.96,3.17,8.17,8.17,3.17,-4.96,-0.04,-0.04,-0.02,Steady...
154,2478,2251,2372,2496,-4.99,3.18,8.18,8.18,3.18,-4.99,-0.03,-0.04,-0.02,Steady...
155,2465,2247,2368,2530,-4.98,3.21,8.03,8.03,3.21,-4.98,-0.03,-0.04,-0.02,Steady...
156,2461,2236,2372,2479,-4.96,3.16,8.26,8.26,3.16,-4.96,-0.03,-0.05,-0.02,Steady...
157,2466,2243,2370,2477,-4.95,3.17,8.2,8.2,3.17,-4.95,-0.03,-0.04,-0.02,Steady...
158,2490,2232,2401,2494,-4.93,3.2,8.16,8.16,3.2,-4.93,-0.03,-0.04,-0.02,Steady...
159,2473,2240,2374,2474,-4.95,3.18,8.09,8.09,3.18,-4.95,-0.03,-0.05,-0.02,Steady...
160,2457,2247,2368,2481,-4.92,3.22,8.2,8.2,3.22,-4.92,-0.04,-0.05,-0.02,Steady...
161,2475,2240,2369,2480,-4.92,3.18,8.18,8.18,3.18,-4.92,-0.03,-0.04,-0.02,Steady...
162,2467,2240,2358,2482,-4.93,3.15,8.19,8.19,3.15,-4.93,-0.03,-0.04,-0.02,Steady...
163,2463,2230,2371,2487,-4.95,3.17,8.22,8.22,3.17,-4.95,-0.03,-0.04,-0.02,Steady...
164,2475,2247,2384,2480,-4.98,3.14,8.13,8.13,3.14,-4.98,-0.04,-0.04,-0.02,Steady...
165,2469,2228,2353,2480,-4.92,3.16,8.22,8.22,3.16,-4.92,-0.03,-0.04,-0.02,Steady...
166,2465,2238,2371,2464,-5.01,3.22,8.14,8.14,3.22,-5.01,-0.04,-0.04,-0.02,Steady...
167,2460,2245,2368,2477,-4.96,3.19,8.08,8.08,3.19,-4.96,-0.03,-0.04,-0.03,Steady...
168,2473,2224,2366,2478,-4.98,3.23,8.21,8.21,3.23,-4.98,-0.03,-0.04,-0.02,Steady...
169,2464,2231,2384,2494,-4.91,3.16,8.14,8.14,3.16,-4.91,-0.03,-0.04,-0.02,Steady...
170,2480,2239,2366,2493,-4.9,3.18,8.17,8.17,3.18,-4.9,-0.03,-0.04,-0.02,Steady...
171,2473,2239,2381,2464,-4.91,3.18,8.12,8.12,3.18,-4.91,-0.04,-0.04,-0.02,Steady...
172,2471,2233,2375,2485,-4.96,3.19,8.18,8.18,3.19,-4.96,-0.03,-0.04,-0.02,Steady...
173,2470,2254,2377,2478,-4.93,3.18,8.09,8.09,3.18,-4.93,-0.03,-0.05,-0.02,Steady...
174,2461,2240,2366,2463,-4.95,3.23,8.15,8.15,3.23,-4.95,-0.03,-0.04,-0.02,Steady...
175,2478,2235,2399,2497,-4.94,3.18,8.14,8.14,3.18,-4.94,-0.03,-0.05,-0.02,Steady...
176,2464,2239,2363,2483,-4.94,3.16,8.16,8.16,3.16,-4.94,-0.04,-0.04,-0.02,Steady...
177,2443,2231,2368,2493,-4.93,3.18,8.16,8.16,3.18,-4.93,-0.03,-0.04,-0.02,Steady...
178,2471,2239,2368,2483,-4.91,3.19,8.11,8.11,3.19,-4.91,-0.04,-0.04,-0.02,Steady...
179,2477,2269,2361,2478,-4.94,3.17,8.19,8.19,3.17,-4.94,-0.03,-0.04,-0.02,Steady...
180,2464,2230,2378,2480,-4.97,3.23,8.19,8.19,3.23,-4.97,-0.03,-0.04,-0.02,Steady...
181,2441,2241,2368,2501,-4.97,3.19,8.17,8.17,3.19,-4.97,-0.03,-0.05,-0.02,Steady...
182,2455,2226,2364,2463,-4.95,3.18,8.19,8.19,3.18,-4.95,-0.03,-0.04,-0.02,Steady...
183,2480,2235,2371,2480,-5.03,3.28,8.24,8.24,3.28,-5.03,-0.04,-0.05,-0.02,Steady...
184,2460,2249,2356,2480,-4.9,3.21,8.15,8.15,3.21,-4.9,-0.04,-0.05,-0.02,Steady...
185,2442,2245,2375,2482,-4.91,3.23,8.15,8.15,3.23,-4.91,-0.04,-0.04,-0.02,Steady...
186,2461,2237,2364,2479,-4.87,3.19,8.12,8.12,3.19,-4.87,-0.03,-0.04,-0.02,Steady...
187,2468,2270,2365,2477,-4.94,3.17,8.2,8.2,3.17,-4.94,-0.03,-0.04,-0.02,Steady...
188,2455,2242,2352,2492,-4.88,3.28,8.14,8.14,3.28,-4.88,-0.03,-0.05,-0.02,Steady...
189,2464,2244,2371,2507,-4.87,3.22,8.22,8.22,3.22,-4.87,-0.04,-0.05,-0.02,Steady...
190,2464,2243,2352,2481,-4.91,3.25,8.17,8.17,3.25,-4.91,-0.04,-0.04,-0.02,Steady...
191,2449,2253,2372,2472,-4.89,3.19,8.18,8.18,3.19,-4.89,-0.04,-0.04,-0.02,Steady...
192,2475,2246,2355,2465,-4.91,3.26,8.18,8.18,3.26,-4.91,-0.03,-0.04,-0.02,Steady...
193,2461,2241,2368,2471,-4.97,3.25,8.23,8.23,3.25,-4.97,-0.03,-0.04,-0.02,Steady...
194,2462,2246,2372,2478,-4.92,3.21,8.21,8.21,3.21,-4.92,-0.04,-0.04,-0.02,Steady...
195,2471,2235,2349,2475,-4.87,3.2,8.18,8.18,3.2,-4.87,-0.04,-0.04,-0.02,Steady...
196,2461,2244,2366,2482,-4.9,3.16,8.14,8.14,3.16,-4.9,-0.04,-0.05,-0.03,Steady...
197,2454,2259,2384,2496,-4.87,3.28,8.18,8.18,3.28,-4.87,-0.03,-0.04,-0.03,Steady...
198,2461,2246,2379,2471,-4.87,3.21,8.19,8.19,3.21,-4.87,-0.03,-0.04,-0.02,Steady...
199,2465,2245,2368,2458,-4.88,3.22,8.14,8.14,3.22,-4.88,-0.04,-0.04,-0.02,Steady...
200,2465,2240,2370,2470,-4.89,3.25,8.06,8.06,3.25,-4.89,-0.03,-0.04,-0.02,Steady...
201,2455,2245,2368,2471,-4.79,3.22,8.16,8.16,3.22,-4.79,-0.03,-0.04,-0.02,Steady...
202,2464,2247,2366,2480,-4.87,3.3,8.16,8.16,3.3,-4.87,-0.03,-0.05,-0.01,Steady...
203,2450,2231,2363,2448,-4.78,3.32,8.2,8.2,3.32,-4.78,-0.03,-0.04,-0.02,Steady...
204,2466,2249,2370,2462,-4.92,3.3,8.07,8.07,3.3,-4.92,-0.04,-0.04,-0.02,Steady...
205,2463,2246,2367,2471,-4.86,3.26,8.24,8.24,3.26,-4.86,-0.03,-0.04,-0.02,Steady...
206,2477,2224,2362,2455,-4.81,3.29,8.23,8.23,3.29,-4.81,-0.04,-0.04,-0.02,Steady...
207,2473,2230,2377,2466,-4.84,3.3,8.19,8.19,3.3,-4.84,-0.03,-0.04,-0.02,Steady...
208,2467,2230,2373,2435,-4.86,3.26,8.23,8.23,3.26,-4.86,-0.03,-0.04,-0.02,Steady...
209,2464,2246,2372,2490,-4.85,3.29,8.2,8.2,3.29,-4.85,-0.04,-0.04,-0.02,Steady...
210,2468,2242,2368,2501,-4.76,3.33,8.21,8.21,3.33,-4.76,-0.03,-0.04,-0.02,Steady...
211,2465,2243,2368,2481,-4.82,3.26,8.19,8.19,3.26,-4.82,-0.03,-0.05,-0.02,Steady...
212,2476,2256,2342,2473,-4.78,3.26,8.21,8.21,3.26,-4.78,-0.03,-0.04,-0.02,Steady...
213,2469,2246,2366,2491,-4.81,3.29,8.21,8.21,3.29,-4.81,-0.03,-0.05,-0.02,Steady...
214,2485,2226,2379,2487,-4.81,3.31,8.16,8.16,3.31,-4.81,-0.03,-0.04,-0.02,Steady...
215,2449,2238,2385,2499,-4.78,3.35,8.24,8.24,3.35,-4.78,-0.04,-0.05,-0.02,Steady...
216,2453,2245,2373,2471,-4.77,3.28,8.3,8.3,3.28,-4.77,-0.03,-0.05,-0.02,Steady...
217,2462,2244,2377,2463,-4.74,3.29,8.22,8.22,3.29,-4.74,-0.03,-0.04,-0.02,Steady...
218,2477,2243,2380,2475,-4.81,3.3,8.08,8.08,3.3,-4.81,-0.04,-0.04,-0.02,Steady...
219,2470,2232,2371,2477,-4.76,3.33,8.25,8.25,3.33,-4.76,-0.03,-0.04,-0.02,Steady...
220,2471,2245,2373,2493,-4.77,3.34,8.19,8.19,3.34,-4.77,-0.04,-0.04,-0.02,Steady...
221,2445,2237,2374,2487,-4.78,3.26,8.18,8.18,3.26,-4.78,-0.04,-0.04,-0.02,Steady...
222,2482,2245,2381,2474,-4.79,3.36,8.28,8.28,3.36,-4.79,-0.04,-0.04,-0.02,Steady...
223,2496,2253,2365,2449,-4.8,3.32,8.24,8.24,3.32,-4.8,-0.04,-0.04,-0.02,Steady...
224,2467,2243,2384,2480,-4.84,3.41,8.26,8.26,3.41,-4.84,-0.04,-0.04,-0.02,Steady...
