,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
0,2467,2239,2367,2481,-2.32,2.26,9.76,9.76,2.26,-2.32,-0.04,-0.06,-0.05,OK!
1,2433,2239,2368,2477,-2.34,2.29,9.74,9.74,2.29,-2.34,0.05,-0.08,0,OK!
2,2479,2253,2358,2478,-2.34,2.43,9.85,9.85,2.43,-2.34,-0.04,-0.05,-0.03,OK!
3,2432,2240,2363,2460,-2.22,2.46,9.77,9.77,2.46,-2.22,-0.04,-0.04,-0.02,OK!
4,2453,2265,2369,2474,-2.21,2.48,9.63,9.63,2.48,-2.21,-0.03,-0.05,-0.02,OK!
5,2475,2256,2292,2470,-2.21,2.38,9.75,9.75,2.38,-2.21,-0.03,-0.04,-0.02,OK!
6,2458,2209,2395,2490,-2.23,2.39,9.83,9.83,2.39,-2.23,-0.02,-0.04,-0.02,OK!
7,2468,2217,2366,2467,-2.13,2.37,9.82,9.82,2.37,-2.13,-0.03,-0.04,-0.02,OK!
8,2467,2239,2352,2478,-2.15,2.4,9.9,9.9,2.4,-2.15,-0.04,-0.04,-0.02,OK!
9,2464,2195,2401,2448,-2.17,2.41,9.84,9.84,2.41,-2.17,-0.03,-0.04,-0.03,OK!
10,2448,2239,2363,2480,-2.17,2.38,9.72,9.72,2.38,-2.17,-0.04,-0.04,-0.02,OK!
11,2448,2224,2347,2464,-2.16,2.4,9.78,9.78,2.4,-2.16,-0.03,-0.04,-0.01,OK!
12,2464,2254,2359,2498,-2.13,2.36,9.66,9.66,2.36,-2.13,-0.05,-0.06,-0.02,OK!
13,2448,2226,2370,2490,-2.22,2.38,9.74,9.74,2.38,-2.22,-0.03,-0.06,-0.01,OK!
14,2476,0,2346,2451,-1.21,6.03,8.53,8.53,6.03,-1.21,1.57,-0.23,0.63,OK!
15,2437,1776,2320,2465,0.94,9.76,0.54,0.54,9.76,0.94,1.3,1.11,0.33,OK!
16,2493,1578,2314,2433,0.92,9.86,-0.49,-0.49,9.86,0.92,0.08,0.22,-0.07,OK!
17,2483,1728,2343,2430,0.96,9.5,-0.57,-0.57,9.5,0.96,-0.06,-0.09,-0.02,OK!
18,2463,1810,2342,2448,0.87,9.66,-0.85,-0.85,9.66,0.87,-0.04,-0.01,0,OK!
19,2481,1797,2360,2465,1.02,9.64,-0.84,-0.84,9.64,1.02,-0.06,-0.02,-0.02,OK!
20,2468,1853,2349,2427,0.94,9.52,-0.77,-0.77,9.52,0.94,-0.03,-0.05,-0.02,OK!
21,2455,1774,2339,2416,0.86,9.62,-0.89,-0.89,9.62,0.86,-0.04,-0.04,-0.02,OK!
22,2448,1802,2318,2451,1.09,9.6,-0.45,-0.45,9.6,1.09,-0.11,-0.04,0.01,OK!
23,2477,1808,2345,2500,1.02,9.56,-0.9,-0.9,9.56,1.02,0.08,-0.02,-0.08,OK!
24,2499,1801,2342,2475,1.06,9.48,-0.77,-0.77,9.48,1.06,-0.05,-0.05,-0.02,OK!
25,2448,1733,2326,2451,1.09,9.62,-0.69,-0.69,9.62,1.09,-0.22,-0.14,-0.08,OK!
26,2455,1808,2306,2448,0.98,9.66,-0.54,-0.54,9.66,0.98,0.04,-0.03,0.01,OK!
27,2459,1856,2326,2419,0.9,9.75,-0.74,-0.74,9.75,0.9,-0.04,-0.05,-0.01,OK!
28,2474,1873,2328,2432,1.08,9.81,-0.67,-0.67,9.81,1.08,-0.12,-0.06,0,OK!
29,2469,1810,2338,2460,1.18,9.59,-0.56,-0.56,9.59,1.18,-0.03,-0.03,-0.02,OK!
30,2467,1879,2317,2415,1.22,9.75,-0.68,-0.68,9.75,1.22,-0.05,-0.04,0.01,OK!
31,2476,1889,2334,2453,1.22,9.67,-0.65,-0.65,9.67,1.22,-0.03,-0.06,-0.03,OK!
32,2452,1862,2309,2416,1.15,9.7,-0.7,-0.7,9.7,1.15,-0.01,-0.01,-0.03,OK!
33,2455,1805,2351,2488,1.16,9.56,-0.69,-0.69,9.56,1.16,-0.06,0.01,-0.05,OK!
34,2450,1899,2338,2423,1.02,9.62,-0.62,-0.62,9.62,1.02,-0.03,0.03,-0.02,OK!
35,2454,1840,2327,2448,1.12,9.59,-0.54,-0.54,9.59,1.12,-0.02,-0.03,-0.01,OK!
36,2450,1878,2352,2441,1.08,9.78,-0.87,-0.87,9.78,1.08,-0.05,-0.04,-0.02,OK!
37,2477,1856,2324,2451,1.13,9.66,-0.86,-0.86,9.66,1.13,-0.03,-0.03,-0.02,OK!
38,2446,1886,2379,2448,1.22,9.69,-0.89,-0.89,9.69,1.22,-0.04,-0.05,-0.03,OK!
39,2451,1890,2317,2455,1.24,9.66,-0.88,-0.88,9.66,1.24,-0.02,-0.05,-0.01,OK!
40,2453,1847,2334,2459,1.07,9.36,-0.45,-0.45,9.36,1.07,0.12,-0.02,-0.31,OK!
41,2471,1794,2354,2443,1.31,9.96,-2.05,-2.05,9.96,1.31,-0.28,-0.27,0.29,OK!
42,2444,1895,2329,2438,1.75,10.27,0.44,0.44,10.27,1.75,-0.02,0.26,0.03,OK!
43,2459,1830,2340,2479,1.02,9.56,0.17,0.17,9.56,1.02,-0.16,-0.32,-0.47,OK!
44,2451,1825,2362,2458,2.1,9.56,1.46,1.46,9.56,2.1,-0.01,-0.03,0.07,OK!
45,2469,1776,2329,2418,2.01,9.81,1.37,1.37,9.81,2.01,-0.02,0.01,-0.01,OK!
46,2484,1871,2330,2427,2.21,9.61,1.17,1.17,9.61,2.21,-0.03,-0.04,-0.01,OK!
47,2462,1841,2303,2431,2.18,9.49,1.29,1.29,9.49,2.18,-0.04,-0.04,-0.05,OK!
48,2439,1850,2355,2477,2.2,9.51,1.24,1.24,9.51,2.2,-0.06,-0.04,-0.03,OK!
49,2438,1856,2304,2442,2.19,9.58,1.08,1.08,9.58,2.19,-0.04,-0.04,-0.02,OK!
50,2442,1888,2338,2460,2.07,9.63,1.15,1.15,9.63,2.07,-0.05,-0.08,0,OK!
51,2453,1901,2337,2443,2.1,9.54,1.16,1.16,9.54,2.1,-0.03,-0.02,-0.05,OK!
52,2416,1823,2352,2395,2.18,9.49,1.08,1.08,9.49,2.18,-0.04,-0.04,-0.01,OK!
53,2455,1855,2314,2459,2.24,9.49,1.13,1.13,9.49,2.24,-0.02,-0.02,-0.03,OK!
54,2439,1871,2320,2406,2.15,9.63,1.02,1.02,9.63,2.15,-0.02,-0.05,0,OK!
55,2467,1847,2343,2455,2.18,9.56,1.04,1.04,9.56,2.18,-0.02,0.02,-0.02,OK!
56,2493,1846,2378,2506,2.1,9.6,1.04,1.04,9.6,2.1,-0.03,-0.07,0,OK!
57,2465,1852,2326,2441,2.04,9.57,1.11,1.11,9.57,2.04,-0.05,-0.04,-0.03,OK!
58,2458,1890,2353,2471,2.18,9.59,1.06,1.06,9.59,2.18,-0.04,-0.05,-0.04,OK!
59,2477,1827,2325,2435,2.19,9.53,1.07,1.07,9.53,2.19,-0.02,-0.03,-0.04,OK!
60,2456,1855,2330,2449,2.16,9.55,0.94,0.94,9.55,2.16,-0.04,-0.06,-0.02,OK!
61,2447,1880,2331,2489,2,9.51,1.22,1.22,9.51,2,-0.12,-0.11,-0.08,OK!
62,2479,1879,2334,2443,1.98,9.53,1.26,1.26,9.53,1.98,-0.07,0.02,-0.05,OK!
63,2487,1770,2315,2416,2.08,9.44,1.38,1.38,9.44,2.08,-0.02,-0.01,-0.03,OK!
64,2459,1774,2327,2448,1.96,9.54,1.3,1.3,9.54,1.96,0,-0.05,0.01,OK!
65,2471,1871,2355,2437,1.97,9.51,1.2,1.2,9.51,1.97,-0.06,-0.03,-0.05,OK!
66,2461,1917,2322,2479,1.99,9.57,1.39,1.39,9.57,1.99,-0.01,-0.07,0.05,OK!
67,2469,1887,2305,2480,2.3,9.53,1.23,1.23,9.53,2.3,-0.03,-0.06,0.05,OK!
68,2448,1936,2349,2465,2.84,9.39,1.31,1.31,9.39,2.84,-0.05,-0.03,0.05,OK!
